Electricity_Usage_kWh,Gas_Usage_kWh,Car_Usage_km,Flight_Trips_per_year,Diet_Type,Waste_Produced_kg,Recycling_Rate,Cycling_Habit,Public_Transport_Habit,Carbon_Footprint_kgCO2
1226,121,170,8,pescatarian,5.41,0,0,1,2344.8
960,239,115,6,vegetarian,1.99,1,1,0,1638.7
1394,317,328,7,vegetarian,5.24,1,1,1,2574.1
1230,370,73,4,meat,3.19,1,1,1,1768.0
1195,156,255,4,pescatarian,4.14,0,0,1,2088.8
1144,281,80,6,vegetarian,2.46,0,1,1,1629.3
221,91,267,7,pescatarian,3.07,0,0,1,1858.8
566,188,127,8,vegetarian,1.69,0,0,0,1741.4
1338,322,325,1,vegan,9.28,0,1,1,2092.1
430,530,402,2,vegan,5.77,1,0,0,1917.5
187,465,234,1,vegan,4.57,1,0,1,1096.5
1496,555,40,9,vegetarian,5.82,1,0,1,2255.5
1223,473,180,6,meat,6.65,0,0,1,2535.9
971,456,156,1,vegan,9.3,1,1,0,1577.3
230,439,453,1,vegetarian,2.61,1,0,0,1759.7
1432,391,58,1,pescatarian,3.66,0,0,0,1561.3
869,542,344,3,vegan,9.78,1,0,0,2296.1
443,241,248,0,meat,4.34,0,1,1,1480.8
905,548,191,1,meat,1.2,0,1,1,1604.4
485,282,23,2,meat,2.33,0,0,0,1201.1
1315,276,472,6,pescatarian,1.24,0,1,0,2832.3
1055,420,399,9,pescatarian,9.91,0,1,0,3296.5
376,188,435,0,meat,3.51,1,1,0,1907.4
1284,198,79,5,meat,9.31,0,1,1,2214.4
559,164,133,2,meat,9.96,0,0,1,1759.2
1437,499,420,2,pescatarian,6.4,1,0,1,2588.2
121,112,212,3,pescatarian,1.3,0,1,0,1239.1
352,153,387,3,vegetarian,1.73,0,1,0,1725.9
847,322,481,6,vegan,5.33,1,1,1,2489.1
956,55,347,2,pescatarian,4.66,1,1,0,1995.0
574,196,165,7,meat,6.46,0,1,0,2231.3
1182,233,424,7,vegan,4.95,1,1,0,2668.4
610,77,347,6,pescatarian,9.41,0,1,1,2416.1
799,599,336,1,vegan,5.81,1,0,0,1859.7
1075,168,397,4,vegetarian,7.24,1,0,1,2392.4
289,342,70,5,pescatarian,9.07,0,1,0,1625.6
1057,420,213,9,meat,2.32,0,1,0,2653.0
786,293,434,3,meat,3.07,0,0,1,2419.4
1057,267,64,9,vegetarian,1.97,1,0,1,1817.1
662,226,220,4,vegetarian,2.26,1,1,1,1461.8
1367,348,307,8,vegetarian,5.61,1,0,1,2685.9
931,107,478,6,vegetarian,3.89,0,0,0,2687.1
1254,318,285,1,vegetarian,4.81,1,1,0,1875.4
746,357,184,0,pescatarian,9.84,0,0,1,1632.1
120,337,206,1,pescatarian,2.41,0,1,1,1046.6
940,154,465,2,vegan,5.87,1,0,0,2222.2
266,277,98,1,vegetarian,1.89,1,1,0,755.6
1397,296,241,2,meat,3.87,1,0,0,2233.3
487,543,157,9,meat,5.75,1,0,1,2336.4
700,132,97,8,vegetarian,9.52,1,1,1,1908.1
